,XVal,YVal,ZVal,time
4860,-6.28,-7.75,-1.96,9.305884838104248
4861,-6.47,-7.75,-1.96,9.307879447937012
4862,-6.47,-7.75,-1.96,9.308877229690552
4863,-6.28,-7.75,-2.16,9.310871839523315
4864,-6.28,-7.75,-2.16,9.310871839523315
4865,-6.47,-7.75,-1.96,9.31386399269104
4866,-6.28,-7.75,-1.96,9.315857887268066
4867,-6.47,-7.75,-1.96,9.316855430603027
4868,-6.47,-7.75,-2.16,9.318849563598633
4869,-6.47,-7.75,-1.96,9.319846868515015
4870,-6.47,-7.75,-2.16,9.321841716766357
4871,-6.47,-7.75,-2.16,9.324834108352661
4872,-6.28,-7.75,-2.16,9.325831174850464
4873,-6.28,-7.75,-2.16,9.326828956604004
4874,-6.47,-7.75,-2.16,9.328823566436768
4875,-6.47,-7.75,-1.96,9.330817937850952
4876,-6.47,-7.75,-1.96,9.332812309265137
4877,-6.47,-7.75,-2.16,9.333809614181519
4878,-6.47,-7.75,-2.16,9.334806680679321
4879,-6.28,-7.75,-2.16,9.335804462432861
4880,-6.28,-7.75,-2.16,9.337798833847046
4881,-6.28,-7.75,-2.16,9.340790748596191
4882,-6.47,-7.75,-1.96,9.342174053192139
4883,-6.28,-7.75,-1.96,9.34348201751709
4884,-6.28,-7.85,-1.96,9.34348201751709
4885,-6.47,-7.75,-1.96,9.346476316452026
4886,-6.47,-7.75,-1.96,9.34847116470337
4887,-6.47,-7.75,-1.86,9.349468231201172
4888,-6.47,-7.75,-2.16,9.351487159729004
4889,-6.47,-7.85,-2.16,9.351487159729004
4890,-6.28,-7.75,-2.16,9.35445499420166
4891,-6.28,-7.75,-2.16,9.35752272605896
4892,-6.28,-7.75,-2.16,9.358519315719604
4893,-6.28,-7.75,-1.96,9.359943628311157
4894,-6.47,-7.75,-1.96,9.359943628311157
4895,-6.28,-7.75,-1.96,9.362809896469116
4896,-6.28,-7.75,-1.96,9.362809896469116
4897,-6.18,-7.75,-1.96,9.364986658096313
4898,-6.47,-7.75,-1.96,9.3679780960083
4899,-6.47,-7.55,-1.96,9.3679780960083
4900,-6.47,-7.75,-1.96,9.371968746185303
4901,-6.47,-7.75,-2.16,9.371968746185303
4902,-6.47,-7.75,-2.16,9.372965097427368
4903,-6.47,-7.75,-2.16,9.375957012176514
4904,-6.47,-7.75,-2.16,9.375957012176514
4905,-6.28,-7.75,-2.16,9.37898588180542
4906,-6.28,-7.75,-2.16,9.37898588180542
4907,-6.47,-7.75,-2.16,9.381980180740356
4908,-6.47,-7.75,-1.96,9.383974552154541
4909,-6.47,-7.75,-2.16,9.383974552154541
4910,-6.47,-7.75,-2.16,9.387964010238647
4911,-6.47,-7.75,-1.96,9.387964010238647
4912,-6.47,-7.75,-2.16,9.389960765838623
4913,-6.28,-7.75,-1.96,9.391985654830933
4914,-6.47,-7.75,-1.96,9.39295220375061
4915,-6.47,-7.75,-2.16,9.394980192184448
4916,-6.28,-7.75,-1.96,9.394980192184448
4917,-6.47,-7.75,-2.16,9.397961378097534
4918,-6.47,-7.75,-2.16,9.400929689407349
4919,-6.47,-7.75,-2.16,9.400929689407349
4920,-6.28,-7.75,-2.16,9.403921127319336
4921,-6.28,-7.75,-2.16,9.403921127319336
4922,-6.28,-7.75,-2.16,9.40682315826416
4923,-6.47,-7.75,-1.96,9.408816814422607
4924,-6.28,-7.75,-1.96,9.40981411933899
4925,-6.28,-7.75,-1.96,9.411808967590332
4926,-6.47,-7.75,-2.16,9.411808967590332
4927,-6.47,-7.75,-1.96,9.413805484771729
4928,-6.47,-7.75,-1.96,9.414801597595215
4929,-6.28,-7.75,-2.16,9.416796922683716
4930,-6.28,-7.85,-1.96,9.419788837432861
4931,-6.28,-7.75,-2.16,9.420787334442139
4932,-6.28,-7.75,-2.16,9.422813177108765
4933,-6.47,-7.75,-1.96,9.422813177108765
4934,-6.47,-7.75,-1.96,9.424808740615845
4935,-6.47,-7.75,-2.16,9.427800178527832
4936,-6.28,-7.75,-2.16,9.427800178527832
4937,-6.18,-7.75,-2.16,9.430760622024536
4938,-6.47,-7.75,-2.16,9.430760622024536
4939,-6.28,-7.75,-1.96,9.432752847671509
4940,-6.47,-7.75,-1.96,9.435779094696045
4941,-6.47,-7.75,-2.16,9.435779094696045
4942,-6.28,-7.75,-2.16,9.438769102096558
4943,-6.28,-7.75,-2.16,9.438769102096558
4944,-6.28,-7.75,-2.16,9.44172978401184
