,XVal,YVal,ZVal
324,-6.86,-7.45,-1.47
325,-6.96,-7.45,-1.47
326,-6.96,-7.45,-1.47
327,-6.77,-7.45,-1.47
328,-6.96,-7.45,-1.47
329,-6.96,-7.45,-1.47
330,-6.96,-7.45,-1.47
331,-6.96,-7.45,-1.47
332,-6.96,-7.45,-1.57
333,-6.96,-7.45,-1.47
334,-6.96,-7.45,-1.47
335,-6.96,-7.45,-1.57
336,-6.96,-7.45,-1.47
337,-6.96,-7.45,-1.47
338,-6.86,-7.45,-1.47
339,-6.96,-7.45,-1.47
340,-6.86,-7.45,-1.47
341,-6.96,-7.45,-1.47
342,-6.86,-7.45,-1.47
343,-6.77,-7.45,-1.47
344,-6.96,-7.45,-1.47
345,-6.96,-7.45,-1.47
346,-6.96,-7.45,-1.47
347,-6.96,-7.45,-1.47
348,-6.86,-7.45,-1.57
349,-6.96,-7.45,-1.47
350,-6.86,-7.45,-1.47
351,-6.96,-7.26,-1.47
352,-6.86,-7.45,-1.47
353,-6.86,-7.45,-1.47
354,-6.96,-7.45,-1.47
355,-6.96,-7.45,-1.47
356,-6.96,-7.45,-1.47
357,-6.96,-7.45,-1.47
358,-6.96,-7.45,-1.47
359,-6.86,-7.45,-1.47
360,-6.86,-7.45,-1.47
361,-6.86,-7.45,-1.47
362,-6.86,-7.45,-1.47
363,-6.96,-7.45,-1.47
364,-6.96,-7.45,-1.47
365,-6.96,-7.45,-1.47
366,-6.96,-7.45,-1.47
367,-6.96,-7.45,-1.47
368,-6.96,-7.45,-1.47
369,-6.96,-7.45,-1.47
370,-6.96,-7.45,-1.47
371,-6.96,-7.45,-1.47
372,-6.86,-7.45,-1.47
373,-6.96,-7.45,-1.47
374,-6.96,-7.45,-1.57
375,-6.96,-7.45,-1.47
376,-6.96,-7.45,-1.47
377,-6.96,-7.45,-1.47
378,-6.96,-7.45,-1.47
379,-6.96,-7.45,-1.47
380,-6.96,-7.45,-1.47
381,-6.86,-7.45,-1.47
382,-6.96,-7.45,-1.47
383,-6.86,-7.45,-1.47
384,-6.96,-7.45,-1.47
385,-6.86,-7.45,-1.47
386,-6.96,-7.45,-1.47
387,-6.96,-7.45,-1.47
388,-6.96,-7.45,-1.47
389,-6.96,-7.45,-1.47
390,-6.96,-7.45,-1.47
391,-6.96,-7.45,-1.47
392,-6.86,-7.45,-1.47
393,-6.96,-7.45,-1.47
394,-6.96,-7.45,-1.47
395,-6.96,-7.45,-1.47
396,-6.96,-7.45,-1.47
397,-6.96,-7.45,-1.47
398,-6.96,-7.45,-1.47
399,-6.96,-7.45,-1.47
400,-6.96,-7.45,-1.47
401,-6.96,-7.45,-1.57
402,-6.96,-7.26,-1.47
403,-6.96,-7.45,-1.47
404,-6.96,-7.55,-1.47
405,-6.86,-7.45,-1.47
406,-6.96,-7.45,-1.47
407,-6.96,-7.45,-1.57
408,-6.96,-7.45,-1.47
409,-6.96,-7.45,-1.47
410,-6.96,-7.45,-1.57
411,-6.96,-7.45,-1.57
412,-6.96,-7.45,-1.47
413,-6.96,-7.45,-1.47
414,-6.96,-7.45,-1.47
415,-6.96,-7.45,-1.47
416,-6.96,-7.45,-1.57
417,-6.96,-7.45,-1.47
418,-6.96,-7.45,-1.47
419,-6.86,-7.45,-1.47
420,-6.86,-7.45,-1.47
421,-6.96,-7.45,-1.47
422,-6.96,-7.45,-1.47
423,-6.96,-7.45,-1.47
424,-6.96,-7.45,-1.47
425,-6.86,-7.45,-1.47
426,-6.96,-7.45,-1.47
427,-6.96,-7.45,-1.47
428,-6.86,-7.45,-1.57
429,-6.96,-7.26,-1.47
430,-6.96,-7.26,-1.57
431,-6.96,-7.26,-1.47
432,-6.77,-7.45,-1.57
433,-6.96,-7.45,-1.47
434,-6.96,-7.26,-1.47
